id,terminal,station,latitude,longitude,primary,secondary,tertiary
119,D32027,New Balance Store - Boylston at Dartmouth,42.350413,-71.07655,,,
120,E32001,JP Monument - South St at Centre St,42.309467,-71.115645,,,
121,E32002,JP Centre - Centre Street at Myrtle Street,42.31309,-71.114175,,,
122,E32003,Hyde Square at Barbara St,42.320998,-71.110833,,,
123,E32004,Egleston Square at Columbus Ave,42.315692,-71.098634,,,
124,E32005,Green St T,42.310579,-71.107341,,,
125,E32006,Jackson Square T at Centre St,42.322913,-71.100164,,,
126,K32002,Washington Square at Washington St. / Beacon St.,Brookline,42.339335,-71.13493,,
127,K32004,JFK Crossing at Harvard St. / Thorndike St.,Brookline,42.346563,-71.128374,,
128,M32004,Kendall T at Main St,42.362457,-71.08497,,,
129,M32015,Harvard University River Houses / Plympton St at Memorial Drive,42.369832,-71.118201,,,
130,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,,,
131,M32022,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,,,
132,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,,,
133,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,,,
134,M32025,Mass Ave / Linear Park,42.397828,-71.130516,,,
135,M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,,,
136,M32027,Biogen Idec - Binney St / Sixth St,42.366095,-71.086388,,,
137,M32029,Porter Square Station,42.387995,-71.119084,,,
138,S32005,Wilson Square,42.385582,-71.113341,,,
139,S32006,Davis Square,42.396969,-71.123024,,,
140,S32007,Ball Square,42.400146,-71.112708,,,
141,S32008,Powder House Circle,42.400877,-71.116772,,,
142,S32009,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,,,
143,S32010,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,,,
144,S32011,Teele Square at 239 Holland St,42.402763,-71.126908,,,
145,S32012,Summer St at Cutter St,42.394002,-71.120406,,,
