ID,orig,dest,dist,time,speed
417,5,142,5.61,36.2,9.3
418,5,143,4.27,32.2,7.9
419,5,144,5.31,33.9,9.4
420,5,145,4.53,29.8,9.1
421,6,7,1.84,14.4,7.6
422,6,8,5.51,30.3,10.9
423,6,9,3.35,18.6,10.8
424,6,10,2.81,14.9,11.3
425,6,11,3.11,18.7,10.0
426,6,12,2.65,19.0,8.4
427,6,13,2.79,20.8,8.1
428,6,14,3.6,19.7,11.0
429,6,15,5.07,27.2,11.2
430,6,16,1.81,14.4,7.5
431,6,17,4.15,21.7,11.5
432,6,18,4.92,25.7,11.5
433,6,19,3.14,18.6,10.1
434,6,20,1.1,10.5,6.3
435,6,21,1.95,14.3,8.2
436,6,22,1.25,10.6,7.1
437,6,23,0.51,4.5,6.8
438,6,24,1.76,13.6,7.7
439,6,25,2.1,15.9,7.9
440,6,26,2.03,14.8,8.3
441,6,27,3.12,21.9,8.6
442,6,29,4.29,22.4,11.5
443,6,30,3.66,20.6,10.6
444,6,31,2.13,16.2,7.9
445,6,32,2.84,15.1,11.3
446,6,33,2.3,12.6,11.0
447,6,34,2.72,16.7,9.8
448,6,35,0.85,6.2,8.2
449,6,36,1.46,12.8,6.8
450,6,37,5.99,31.1,11.6
451,6,38,0.44,4.8,5.5
452,6,39,2.4,18.8,7.7
453,6,40,1.21,8.9,8.1
454,6,41,3.74,20.5,10.9
455,6,42,1.08,8.2,7.9
456,6,43,1.3,12.0,6.5
457,6,44,0.74,6.9,6.4
458,6,45,2.58,13.7,11.3
459,6,46,2.25,15.9,8.5
460,6,47,0.72,7.3,5.9
461,6,48,1.2,10.0,7.2
462,6,49,1.09,7.5,8.7
463,6,50,1.4,10.7,7.8
464,6,51,2.73,20.4,8.0
465,6,52,1.82,12.2,9.0
466,6,53,2.0,11.6,10.3
467,6,54,0.74,5.5,8.1
468,6,55,2.01,14.9,8.1
469,6,56,3.36,24.7,8.2
470,6,57,2.17,16.1,8.1
471,6,58,0.84,6.1,8.2
472,6,59,1.46,11.1,7.9
473,6,60,0.37,4.5,5.0
474,6,61,1.83,12.8,8.6
475,6,62,3.78,24.7,9.2
476,6,63,2.11,13.2,9.6
477,6,64,1.52,12.0,7.6
478,6,65,2.62,18.9,8.3
479,6,66,4.36,24.5,10.7
480,6,67,2.33,14.7,9.5
481,6,68,2.99,17.5,10.3
482,6,69,3.74,23.0,9.7
483,6,70,4.83,26.2,11.1
484,6,71,3.59,20.3,10.6
485,6,72,0.99,12.0,5.0
486,6,73,4.92,26.6,11.1
487,6,74,5.03,27.8,10.9
488,6,75,2.79,16.4,10.2
489,6,76,3.12,18.3,10.2
490,6,77,3.35,20.6,9.8
491,6,78,2.69,15.0,10.8
492,6,79,3.12,17.6,10.7
493,6,80,2.38,13.9,10.3
494,6,81,1.03,7.1,8.6
495,6,82,4.55,25.9,10.5
496,6,83,3.57,23.3,9.2
497,6,84,1.51,9.2,9.9
498,6,85,3.69,26.5,8.3
499,6,86,4.33,23.5,11.0
500,6,87,4.54,23.4,11.6
501,6,88,2.72,15.4,10.6
502,6,89,3.99,22.8,10.5
503,6,90,1.45,8.1,10.7
504,6,91,2.37,13.8,10.3
505,6,92,5.84,38.5,9.1
506,6,93,4.41,31.6,8.4
507,6,94,2.08,12.3,10.2
508,6,95,2.35,12.9,10.9
509,6,96,3.52,19.7,10.7
510,6,97,4.36,23.1,11.3
511,6,98,1.73,9.8,10.6
512,6,99,0.84,8.2,6.1
513,6,100,3.32,24.4,8.1
514,6,101,2.63,15.3,10.3
515,6,102,2.57,19.6,7.9
516,6,103,1.86,12.9,8.6
517,6,104,3.69,26.6,8.3
518,6,105,3.57,24.3,8.8
519,6,106,2.72,18.2,9.0
520,6,107,3.08,20.4,9.1
521,6,108,4.13,26.7,9.3
522,6,109,4.33,27.8,9.4
523,6,110,5.94,30.8,11.6
524,6,111,0.51,5.7,5.3
525,6,112,1.13,9.0,7.6
526,6,113,0.33,3.3,6.0
527,6,114,0.5,5.2,5.9
528,6,115,2.53,14.0,10.8
529,6,116,0.68,5.4,7.6
530,6,117,1.14,9.3,7.4
531,6,118,2.25,13.0,10.4
532,6,119,1.7,12.5,8.2
533,6,120,5.62,36.1,9.3
534,6,121,4.97,32.7,9.1
535,6,122,4.39,30.3,8.7
536,6,123,4.28,29.0,8.8
537,6,124,4.75,31.2,9.1
538,6,125,3.73,25.7,8.7
539,6,126,4.78,31.0,9.2
540,6,127,4.1,24.6,10.0
541,6,128,1.26,14.0,5.4
542,6,129,4.41,23.6,11.2
543,6,130,3.53,19.9,10.7
544,6,131,3.62,21.5,10.1
545,6,132,3.75,21.9,10.3
546,6,133,5.62,30.9,10.9
547,6,134,4.97,27.9,10.7
548,6,135,3.14,17.8,10.6
549,6,136,1.98,12.6,9.4
550,6,137,4.09,23.4,10.5
551,6,138,3.93,21.9,10.7
552,6,139,5.31,29.9,10.7
553,6,140,5.11,30.2,10.1
554,6,141,5.33,30.9,10.4
555,6,142,5.76,33.2,10.4
556,6,143,3.91,23.5,10.0
557,6,144,5.37,30.6,10.5
558,6,145,4.67,26.5,10.6
559,7,8,6.82,41.2,9.9
560,7,9,4.62,28.5,9.7
561,7,10,4.09,24.8,9.9
562,7,11,4.5,29.8,9.1
563,7,12,3.22,22.5,8.6
564,7,13,2.37,15.8,9.0
565,7,14,4.26,28.1,9.1
566,7,15,6.39,38.1,10.1
567,7,16,2.38,17.9,8.0
568,7,17,5.47,32.6,10.1
569,7,18,6.24,36.3,10.3
570,7,19,4.42,28.6,9.3
571,7,20,0.82,5.1,9.6
572,7,21,2.79,20.8,8.1
573,7,22,0.61,3.5,10.4
574,7,23,1.04,9.0,6.9
575,7,24,0.11,1.1,5.8
576,7,25,2.45,15.7,9.3
577,7,26,1.95,15.8,7.4
578,7,27,3.69,25.4,8.7
579,7,29,5.61,33.3,10.1
580,7,30,4.2,28.1,9.0
581,7,31,0.44,3.4,7.7
582,7,32,4.43,28.6,9.3
583,7,33,3.35,23.3,8.6
584,7,34,4.34,29.3,8.9
585,7,35,1.04,8.2,7.6
586,7,36,2.26,16.0,8.5
587,7,37,7.31,42.0,10.4
588,7,38,1.94,11.9,9.8
589,7,39,2.28,14.7,9.3
