ID,orig,dest,duration,distance
1399,40,80,1038,4826
1400,40,83,1312,5253
1401,40,82,1933,8258
1402,111,112,443,1611
1403,111,113,453,1623
1404,40,89,1573,7414
1405,40,88,1129,5377
1406,111,114,12,58
1407,111,115,628,2135
1408,40,86,1791,7913
1409,15,130,1015,3706
1410,15,131,765,3209
1411,15,132,904,3024
1412,15,133,1085,4293
1413,15,134,1270,5421
1414,15,135,986,3728
1415,15,136,1413,5451
1416,15,137,987,3944
1417,15,138,1106,4364
1418,15,139,1393,5980
1419,96,97,269,1126
1420,100,129,1925,7743
1421,100,128,1520,5473
1422,100,125,647,2520
1423,100,124,930,3930
1424,100,127,1473,5496
1425,100,126,1446,5876
1426,100,121,997,4283
1427,100,120,1101,4724
1428,100,123,687,2522
1429,100,122,854,3361
1430,99,112,217,641
1431,99,113,421,1275
1432,99,110,2069,10304
1433,99,111,397,1328
1434,99,116,433,1743
1435,99,117,240,675
1436,99,114,362,1319
1437,99,115,1000,4614
1438,99,118,938,4153
1439,99,119,605,2464
1440,76,97,290,1324
1441,82,134,2005,8678
1442,112,113,495,1720
1443,76,94,1178,5397
1444,112,115,1075,5059
1445,112,114,437,1764
1446,112,117,151,615
1447,95,126,1868,6741
1448,112,119,552,2359
1449,112,118,1013,4598
1450,95,125,2080,8717
1451,76,99,1470,5717
1452,76,98,1028,4837
1453,62,103,762,3481
1454,82,137,1721,7200
1455,62,102,1005,3832
1456,95,123,2280,9602
1457,62,101,294,1238
1458,95,122,2318,9967
1459,94,139,1609,6714
1460,94,138,1188,5107
1461,62,100,917,3392
1462,95,121,2401,10651
1463,11,113,1372,5668
1464,94,131,1376,5798
1465,94,130,1230,5009
1466,94,133,1570,6490
1467,94,132,1350,5367
1468,94,135,945,4317
1469,94,134,1595,7110
1470,94,137,1379,5768
1471,94,136,638,2391
1472,39,121,1217,5306
1473,39,120,1423,6359
1474,39,123,883,4071
1475,39,122,1074,4384
1476,39,125,798,3315
1477,39,124,1129,4953
1478,39,127,1508,5810
1479,39,126,1411,6169
1480,39,129,1694,6708
1481,39,128,1288,4437
1482,62,104,1443,5344
1483,11,141,2472,8735
1484,11,140,2436,8388
1485,11,143,2343,7945
1486,11,142,2588,9395
1487,50,84,967,4172
1488,50,85,1210,4791
1489,50,86,1088,5105
1490,50,87,1480,7364
1491,50,80,988,4369
1492,50,81,279,931
1493,50,82,1231,5450
1494,50,83,1055,3639
1495,18,98,1834,8972
1496,50,88,1338,6112
1497,50,89,1869,8683
1498,18,97,397,1424
1499,18,96,686,2374
1500,44,123,1687,6804
1501,54,126,1735,7629
1502,54,127,1605,7088
1503,54,124,1482,6534
1504,54,125,1152,4896
1505,54,122,1428,5964
1506,54,123,1352,5782
1507,54,120,1777,7940
1508,54,121,1571,6887
1509,13,93,766,2768
1510,54,128,1266,6550
1511,54,129,1448,7170
1512,18,91,1057,4072
1513,18,90,1305,5560
1514,41,48,1537,6714
1515,41,49,1173,5528
1516,61,68,810,3075
1517,61,69,1144,3985
1518,61,66,1231,4987
1519,61,67,644,2018
1520,61,64,801,3013
1521,61,65,1221,4796
1522,61,62,802,3764
1523,61,63,1054,3593
1524,41,44,1753,7828
1525,41,45,777,3463
1526,61,108,1086,4499
1527,61,109,1149,4819
1528,61,100,841,3309
1529,61,101,557,2208
1530,61,102,552,2110
1531,61,103,5,35
1532,61,104,1389,5593
1533,61,105,1038,3884
1534,61,106,1289,4591
1535,61,107,1413,5190
1536,13,96,1635,6056
1537,31,78,1611,7600
1538,31,79,1767,8287
1539,34,99,1130,4177
1540,34,98,1511,6677
1541,34,95,1575,7013
1542,34,94,1661,7237
1543,34,97,1154,4550
1544,34,96,1443,5500
1545,34,91,1164,4273
1546,34,90,1285,5556
1547,34,93,1568,5782
1548,34,92,1978,8482
1549,13,95,1568,5520
1550,81,102,599,2223
1551,81,103,791,2751
1552,81,100,955,3667
1553,81,101,1199,4764
1554,81,106,833,2870
1555,81,107,958,3468
1556,81,104,933,3872
1557,81,105,1030,4099
