to,from,ID
12,86,227
12,87,228
12,84,229
12,85,230
30,37,231
30,36,232
30,35,233
30,34,234
106,143,235
30,32,236
30,31,237
30,39,238
30,38,239
107,139,240
107,138,241
62,109,242
62,108,243
96,98,244
107,131,245
107,130,246
107,133,247
107,132,248
107,135,249
107,134,250
107,137,251
107,136,252
65,131,253
65,130,254
65,133,255
65,132,256
65,135,257
65,134,258
65,137,259
65,136,260
65,139,261
65,138,262
18,99,263
106,145,264
121,128,265
121,129,266
121,122,267
121,123,268
121,126,269
121,127,270
121,124,271
121,125,272
63,107,273
106,144,274
46,76,275
46,77,276
46,74,277
46,75,278
46,72,279
46,73,280
46,70,281
46,71,282
73,79,283
46,78,284
46,79,285
48,71,286
104,114,287
66,137,288
66,134,289
66,135,290
66,132,291
66,133,292
66,130,293
66,131,294
21,104,295
21,105,296
21,106,297
21,107,298
21,100,299
21,101,300
66,138,301
66,139,302
5,25,303
5,24,304
5,27,305
5,26,306
5,21,307
5,20,308
5,23,309
5,22,310
5,29,311
76,77,312
93,114,313
93,115,314
13,61,315
13,60,316
93,110,317
93,111,318
93,112,319
93,113,320
13,69,321
13,68,322
93,118,323
93,119,324
122,125,325
122,124,326
122,127,327
122,126,328
122,123,329
122,129,330
122,128,331
38,105,332
18,93,333
50,68,334
50,69,335
50,62,336
50,63,337
50,60,338
50,61,339
50,66,340
50,67,341
50,64,342
50,65,343
107,108,344
100,145,345
100,144,346
100,143,347
100,142,348
100,141,349
107,109,350
68,129,351
104,106,352
51,141,353
51,140,354
51,143,355
51,142,356
51,145,357
51,144,358
48,77,359
70,85,360
104,105,361
18,29,362
86,118,363
86,119,364
18,22,365
18,23,366
18,20,367
18,21,368
18,26,369
18,27,370
18,24,371
18,25,372
82,109,373
82,108,374
82,101,375
39,108,376
82,100,377
82,103,378
80,89,379
80,88,380
82,102,381
80,81,382
82,105,383
80,83,384
80,82,385
80,85,386
80,84,387
80,87,388
82,104,389
82,107,390
48,109,391
48,108,392
48,107,393
48,106,394
48,105,395
82,106,396
48,103,397
48,102,398
48,101,399
48,100,400
50,104,401
50,105,402
50,106,403
50,107,404
50,100,405
50,101,406
50,102,407
50,103,408
78,95,409
78,94,410
78,97,411
78,96,412
50,108,413
50,109,414
78,93,415
78,92,416
71,72,417
71,73,418
34,37,419
34,36,420
34,35,421
32,145,422
34,39,423
34,38,424
71,78,425
71,79,426
7,132,427
7,133,428
7,130,429
7,131,430
7,136,431
7,137,432
7,134,433
7,135,434
7,138,435
7,139,436
36,84,437
36,85,438
36,86,439
36,87,440
36,80,441
36,81,442
36,82,443
36,83,444
77,145,445
77,144,446
36,88,447
36,89,448
77,143,449
77,142,450
55,118,451
55,119,452
55,112,453
55,113,454
55,110,455
55,111,456
55,116,457
55,117,458
55,114,459
55,115,460
74,144,461
74,145,462
74,142,463
74,143,464
74,140,465
