ID,orig,dest,duration,distance
7981,42,89,1776,8386
7982,42,88,1245,5814
7983,82,141,2196,9153
7984,82,140,2161,8806
7985,82,143,2157,8751
7986,82,142,2312,9813
7987,42,83,1058,3785
7988,42,82,1371,5624
7989,42,81,289,711
7990,42,80,895,4071
7991,42,87,1387,7066
7992,42,86,1229,5278
7993,42,85,1220,4571
7994,42,84,873,3874
7995,9,21,788,3182
7996,9,20,1554,6335
7997,9,23,1551,6457
7998,9,22,1383,5534
7999,9,25,1044,4020
8000,9,24,1566,6349
8001,9,27,1171,4305
8002,9,26,1219,4687
8003,9,29,604,3105
8004,102,116,843,2875
8005,102,117,904,3435
8006,51,107,1092,4169
8007,57,69,1160,4297
8008,57,68,977,3408
8009,108,143,2796,10722
8010,108,142,3034,12882
8011,108,141,2918,12222
8012,108,140,2883,11875
8013,57,63,889,2891
8014,57,62,605,2829
8015,57,61,320,1375
8016,57,60,984,3949
8017,57,67,811,2352
8018,57,66,1465,5857
8019,57,65,1541,6171
8020,57,64,1121,4388
8021,40,104,1286,4875
8022,102,110,1906,7580
8023,102,111,1181,4401
8024,94,99,649,2363
8025,94,98,284,604
8026,105,142,2849,11944
8027,105,143,2610,9784
8028,105,140,2697,10937
8029,105,141,2733,11284
8030,94,97,1266,5726
8031,94,96,1059,4935
8032,105,144,2709,11457
8033,105,145,2466,10203
8034,18,62,961,3922
8035,14,119,778,3353
8036,14,118,1929,8379
8037,59,141,2326,10291
8038,59,140,2290,9944
8039,59,143,1886,8002
8040,59,142,2467,10983
8041,59,145,2066,9223
8042,59,144,2314,10357
8043,14,115,1991,8840
8044,14,114,1702,6767
8045,80,103,795,2503
8046,80,102,1255,4150
8047,80,101,795,2783
8048,80,100,1486,4904
8049,80,107,2076,7974
8050,80,106,1951,7376
8051,80,105,1662,5480
8052,80,104,2227,8548
8053,80,109,1682,6258
8054,80,108,1835,6567
8055,49,80,912,4080
8056,95,102,1771,7320
8057,23,42,574,1622
8058,23,43,451,1671
8059,23,40,343,1187
8060,23,41,1406,6672
8061,23,46,933,3706
8062,23,47,222,566
8063,23,44,187,528
8064,23,45,998,4803
8065,23,48,308,1222
8066,23,49,312,1356
8073,90,119,1110,4861
8074,90,118,579,2537
8077,90,115,641,2999
8078,90,114,625,1982
8079,90,113,580,2204
8080,90,112,876,3062
8081,90,111,660,1991
8082,90,110,1555,7246
8083,68,118,1186,5385
8084,68,119,951,3483
8085,68,112,1313,5338
8086,68,113,990,4206
8087,68,110,983,4648
8088,68,111,1267,4839
8089,68,116,942,4187
8090,68,117,1463,5953
8091,68,114,1232,4830
8092,68,115,1248,5847
8093,6,15,1631,8163
8094,6,14,1181,5797
8095,6,17,1304,6685
8096,62,77,2414,9205
8097,6,16,863,2907
8098,6,11,1122,5004
8099,6,10,895,4520
8100,6,13,1248,4492
8102,6,12,1139,4260
8103,129,133,443,1813
8104,6,19,1119,5050
8105,129,132,455,1304
8106,6,18,1540,7913
8107,43,113,694,2150
8108,43,112,353,942
8109,43,111,511,2084
8110,43,110,2393,11219
8111,78,102,1887,7858
8112,78,103,1456,6348
8113,43,115,849,3829
8114,43,114,523,2142
8115,69,113,1523,6200
8116,43,119,885,3292
8117,43,118,787,3368
8118,78,108,2567,10415
8119,69,112,1445,5929
8120,7,63,406,1906
8121,7,62,1779,7241
8122,7,61,1269,4897
8123,7,60,936,2811
8124,7,67,1477,5813
8125,7,66,2066,9081
8126,7,65,372,1503
